"scenario","model","rep","year","pvpr_2_10","clin_0_5","clin_all","relapse_all"
"eir_1","IBM",1,22.1096,0.0440843,0.474734,0.497942,1.81682
"eir_1","IBM",1,22.1918,0.0418977,0.489221,0.445376,1.81332
"eir_1","IBM",1,22.274,0.0402377,0.361756,0.433169,1.81221
"eir_1","IBM",1,22.3562,0.0402953,0.419735,0.420933,1.82567
"eir_1","IBM",1,22.4384,0.0391604,0.377739,0.418455,1.77782
"eir_1","IBM",1,22.5205,0.0417348,0.483251,0.449031,1.80836
"eir_1","IBM",1,22.6027,0.0382756,0.490741,0.434349,1.7117
"eir_1","IBM",1,22.6849,0.0402831,0.493331,0.460043,1.86954
"eir_1","IBM",1,22.7671,0.0409071,0.499944,0.461305,1.83788
"eir_1","IBM",1,22.8493,0.0438305,0.500799,0.477244,1.83188
"eir_1","IBM",1,22.9315,0.0462246,0.498474,0.473645,1.94721
"eir_1","IBM",1,23.0137,0.0439625,0.437727,0.469973,1.86643
"eir_1","IBM",1,23.0959,0.0417057,0.450906,0.480988,1.87989
"eir_1","IBM",1,23.1781,0.0437952,0.409876,0.474868,1.90315
"eir_1","IBM",1,23.2603,0.0425217,0.498114,0.483436,1.85541
"eir_1","IBM",1,23.3425,0.0440745,0.457953,0.466301,1.82359
"eir_1","IBM",1,23.4247,0.0441993,0.444986,0.472421,1.76974
"eir_1","IBM",1,23.5068,0.0426535,0.456587,0.461458,1.91071
"eir_1","IBM",1,23.589,0.0400275,0.441184,0.455378,1.82151
"eir_1","IBM",1,23.6712,0.04144,0.54624,0.477425,1.91092
"eir_1","IBM",1,23.7534,0.0424069,0.438716,0.429714,1.7764
"eir_1","IBM",1,23.8356,0.0397473,0.460586,0.429752,1.78512
"eir_1","IBM",1,23.9178,0.0413992,0.373234,0.440765,1.80714
"eir_1","IBM",1,24,0.0409313,0.525474,0.410163,1.77533
"eir_1","IBM",1,24.0822,0.0429256,0.537418,0.437104,1.75209
"eir_1","IBM",1,24.1644,0.0419789,0.46462,0.427309,1.71536
"eir_1","IBM",1,24.2466,0.0409772,0.473921,0.430982,1.71046
"eir_1","IBM",1,24.3288,0.04035,0.385677,0.399149,1.70679
"eir_1","IBM",1,24.411,0.0418312,0.448997,0.453066,1.74614
"eir_1","IBM",1,24.4932,0.0394934,0.476494,0.44574,1.66785
"eir_1","IBM",1,24.5753,0.0410428,0.528253,0.433518,1.71448
"eir_1","IBM",1,24.6575,0.0395607,0.491475,0.455561,1.76959
"eir_1","IBM",1,24.7397,0.0391518,0.415815,0.39433,1.66794
"eir_1","IBM",1,24.8219,0.0385932,0.410138,0.423735,1.73903
"eir_1","IBM",1,24.9041,0.0399641,0.546262,0.445815,1.74039
"eir_1","IBM",1,24.9863,0.0387672,0.494603,0.450753,1.76994
"eir_1","IBM",1,25.0685,0.0428071,0.533451,0.470348,1.78463
"eir_1","IBM",1,25.1507,0.0418092,0.494149,0.461731,1.71587
"eir_1","IBM",1,25.2329,0.0409197,0.57415,0.472754,1.78324
"eir_1","IBM",1,25.3151,0.0411024,0.567581,0.459298,1.75268
"eir_1","IBM",1,25.3973,0.0439024,0.620448,0.475251,1.79934
"eir_1","IBM",1,25.4795,0.0450319,0.474204,0.467902,1.86058
"eir_1","IBM",1,25.5616,0.0413152,0.500928,0.48015,1.83731
"eir_1","IBM",1,25.6438,0.043279,0.479917,0.494849,1.83241
"eir_1","IBM",1,25.726,0.0432212,0.463859,0.449529,1.78587
"eir_1","IBM",1,25.8082,0.0407785,0.50734,0.477701,1.85446
"eir_1","IBM",1,25.8904,0.041428,0.518482,0.481375,1.85813
"eir_1","IBM",1,25.9726,0.0483718,0.530523,0.505873,1.82751
"eir_1","IBM",1,26.0548,0.0477733,0.453529,0.451978,1.81159
"eir_1","IBM",1,26.137,0.0427861,0.425289,0.467902,1.76504
"eir_1","IBM",1,26.2192,0.0434612,0.504418,0.428726,1.7296
"eir_1","IBM",1,26.3014,0.0417924,0.397152,0.436099,1.7395
"eir_1","IBM",1,26.3836,0.0395328,0.510609,0.452024,1.82035
"eir_1","IBM",1,26.4658,0.0375436,0.395315,0.445899,1.7199
"eir_1","IBM",1,26.5479,0.0414392,0.444861,0.489999,1.7836
"eir_1","IBM",1,26.6301,0.0436247,0.455175,0.453249,1.74807
"eir_1","IBM",1,26.7123,0.0416552,0.435981,0.436086,1.72107
"eir_1","IBM",1,26.7945,0.0354208,0.373211,0.443404,1.66093
"eir_1","IBM",1,26.8767,0.0355679,0.379383,0.436055,1.73932
"eir_1","IBM",1,26.9589,0.0416951,0.396636,0.46423,1.79078
"eir_1","IBM",1,27.0411,0.0392257,0.456257,0.434874,1.73337
"eir_1","IBM",1,27.1233,0.0418628,0.356098,0.403024,1.69417
"eir_1","IBM",1,27.2055,0.0372767,0.438969,0.422624,1.74562
"eir_1","IBM",1,27.2877,0.0403521,0.456222,0.414049,1.63047
"eir_1","IBM",1,27.3699,0.037385,0.416166,0.392012,1.59622
"eir_1","IBM",1,27.4521,0.0375312,0.406267,0.417765,1.62083
"eir_1","IBM",1,27.5342,0.0395914,0.502224,0.458149,1.67702
"eir_1","IBM",1,27.6164,0.0453665,0.547721,0.450812,1.71137
"eir_1","IBM",1,27.6986,0.0391768,0.509253,0.437337,1.72607
"eir_1","IBM",1,27.7808,0.0394844,0.469274,0.471671,1.8242
"eir_1","IBM",1,27.863,0.0425378,0.49141,0.455758,1.81078
