"scenario","model","rep","age_lo","age_hi","age_mid","pop_frac","prev","clin"
"eir_3","IBM",5,2,3,2.5,0.0421611,0.0641987,1.16805
"eir_3","IBM",5,3,5,4,0.0776862,0.0856121,1.34849
"eir_3","IBM",5,5,7,6,0.069573,0.0984018,1.28277
"eir_3","IBM",5,7,10,8.5,0.0948798,0.0925129,1.02987
"eir_3","IBM",5,10,15,12.5,0.133783,0.0811261,0.716972
"eir_3","IBM",5,15,20,17.5,0.103709,0.0669632,0.590791
"eir_3","IBM",5,20,30,25,0.152318,0.0583495,0.35689
"eir_3","IBM",5,30,40,35,0.0967746,0.0514151,0.180592
"eir_3","IBM",5,40,60,50,0.0976687,0.0496732,0.118946
"eir_3","IBM",5,60,85,72.5,0.0412324,0.043914,0.102679
"eir_10","IBM",5,0,1,0.5,0.0463938,0.0596428,1.19614
"eir_10","IBM",5,1,2,1.5,0.0444778,0.13902,2.81619
"eir_10","IBM",5,2,3,2.5,0.041729,0.178531,2.93768
"eir_10","IBM",5,3,5,4,0.0770204,0.18713,2.12463
"eir_10","IBM",5,5,7,6,0.0703292,0.173672,1.64398
"eir_10","IBM",5,7,10,8.5,0.0946166,0.150077,1.17302
"eir_10","IBM",5,10,15,12.5,0.141383,0.11728,0.544866
"eir_10","IBM",5,15,20,17.5,0.102593,0.081885,0.245568
"eir_10","IBM",5,20,30,25,0.143983,0.0695688,0.191651
"eir_10","IBM",5,30,40,35,0.0959805,0.0553719,0.127191
"eir_10","IBM",5,40,60,50,0.0976147,0.0519136,0.074483
"eir_10","IBM",5,60,85,72.5,0.043878,0.0517681,0.0747583
"demography","IBM",5,0,1,0.5,0.017899,0.0141381,0.286375
"demography","IBM",5,1,2,1.5,0.0181247,0.0406015,0.805633
"demography","IBM",5,2,3,2.5,0.0174232,0.0541621,0.965813
"demography","IBM",5,3,5,4,0.0343999,0.0737997,1.10971
"demography","IBM",5,5,7,6,0.0347621,0.0870507,1.15441
"demography","IBM",5,7,10,8.5,0.0484399,0.0780915,0.82218
"demography","IBM",5,10,15,12.5,0.0800992,0.0748105,0.692981
"demography","IBM",5,15,20,17.5,0.0818437,0.0617974,0.584678
"demography","IBM",5,20,30,25,0.15962,0.0552689,0.396128
"demography","IBM",5,30,40,35,0.148993,0.0483455,0.236296
"demography","IBM",5,40,60,50,0.231789,0.0460118,0.127739
"demography","IBM",5,60,85,72.5,0.126607,0.0446185,0.0881635
"eir_1","IBM",6,0,1,0.5,0.0476223,0.00885554,0.18237
"eir_1","IBM",6,1,2,1.5,0.0457023,0.0228228,0.442914
"eir_1","IBM",6,2,3,2.5,0.0435891,0.0323913,0.636495
"eir_1","IBM",6,3,5,4,0.0801194,0.0368525,0.614542
"eir_1","IBM",6,5,7,6,0.0723517,0.0432775,0.719286
"eir_1","IBM",6,7,10,8.5,0.0963386,0.0506011,0.68261
"eir_1","IBM",6,10,15,12.5,0.132492,0.0484648,0.541491
"eir_1","IBM",6,15,20,17.5,0.106637,0.0415937,0.377744
"eir_1","IBM",6,20,30,25,0.149911,0.0374125,0.309278
"eir_1","IBM",6,30,40,35,0.0951625,0.0334514,0.261717
