"scenario","model","rep","pvpr_2_10","pcr_2_10","clin_0_5","clin_all","relapse_all","hyp_all","eir_realised"
"eir_10","IBM",18,0.173803344323477,0.351192317461755,2.23699420482115,0.854983228575702,13.1259032950051,0.545119777963274,10.545946396118
"demography","IBM",18,0.0725387838717384,0.14626579782013,0.853558780506583,0.389167128691568,4.27850507950375,0.290976966456673,2.34846289090167
"eir_1","IBM",19,0.0438069252834972,0.0896540707626301,0.50896705944883,0.462985372742881,1.86216672910958,0.154380016233628,1.13276445485998
"eir_3","IBM",19,0.0905054077023829,0.182188220049439,1.12375970552473,0.65374195846974,4.76767792200808,0.30648726951665,3.25518208404478
"eir_10","IBM",19,0.175762002433622,0.354851739504807,2.24732810319498,0.860876300306613,12.9343667155363,0.545348170113298,10.4163631185552
"demography","IBM",19,0.0765438213377158,0.155068776874761,0.919267221003851,0.401466923312188,4.42693616333819,0.298840191039392,2.47905755498101
"eir_1","IBM",20,0.0433437307708439,0.0884802526934121,0.509143954133958,0.48246034733426,1.7253168714001,0.148773746789626,1.1046142466754
"eir_3","IBM",20,0.0868502565556992,0.176406605013599,1.00386872584818,0.615955825826726,4.58866285457079,0.302464139558085,2.9597815518669
"eir_10","IBM",20,0.174999140299088,0.357081900629932,2.26579749488541,0.843919511700668,13.6183818989968,0.564472510749682,10.5568369940695
"demography","IBM",20,0.0766400556832886,0.153366940023987,0.958579654796732,0.392300358265167,4.36007064846635,0.290320995726937,2.46226894346138
"nets_e1","IBM",1,0.00613650682489599,0.0128489770527402,0.0756391419857477,0.0765109103525711,0.224998502393272,0.0258777240684219,0.198051946067722
"nets","IBM",1,0.047853915445569,0.0947596958023881,0.635104138235109,0.431543338561387,1.9727311998057,0.157966282500784,1.87114785611022
"nets_e10","IBM",1,0.124393117324811,0.244382894167169,1.79506731633606,0.776151377203535,7.4453624298062,0.395250590031548,7.3421818533476
"irs_e1","IBM",1,0,0,0,0,0,0.00356590351868854,4.68641995088829e-83
"irs","IBM",1,0,0,0,0,0,0.00998755451507612,2.49670465692165e-65
"irs_e10","IBM",1,0.129665101548292,0.224431877117358,2.08478451744281,0.940747111484518,6.41913058864752,0.319484238577358,8.7206506586094
"treatment_e1","IBM",1,0.0159086984731626,0.0346537276180709,0.298222383592665,0.298597882688526,1.10317844873746,0.106167125074974,0.678784121715039
"treatment","IBM",1,0.0465327297637996,0.0974564563699679,0.826096334536294,0.534025390856837,3.63586618387828,0.262214471377222,2.49941017182423
"treatment_e10","IBM",1,0.105679114125649,0.228982968278653,1.88130029093387,0.749462328221774,11.1357893385791,0.512385850479436,9.0288840323006
"primaquine_e1","IBM",1,0.0021555249457961,0.00471872388881205,0.0378406537055395,0.0471500308326678,0.295182684131064,0.029176337023906,0.252984088302152
"primaquine","IBM",1,0.0122055098058461,0.0271236005906767,0.236689237056398,0.176412333173512,1.95498250427739,0.138186592205346,1.64453129423419
"primaquine_e10","IBM",1,0.0499204109288652,0.115790818781443,0.925626965911892,0.414052021658562,8.22231751696426,0.369113526213247,7.67561460632874
"tafenoquine_e1","IBM",1,0.0024952069559542,0.00579087580132479,0.0453227191930532,0.0496588648696269,0.314047892213994,0.0302347998529062,0.259052808234141
