"scenario","model","rep","doy","pfpr_2_10","clin_0_5"
"demography","IBM",3,25,0.468651,0.94057
"demography","IBM",3,32,0.472108,1.52769
"demography","IBM",3,39,0.473808,1.41245
"demography","IBM",3,46,0.474841,0.944067
"demography","IBM",3,53,0.46859,1.37061
"demography","IBM",3,60,0.467937,1.01389
"demography","IBM",3,67,0.473228,1.01705
"demography","IBM",3,74,0.466218,1.19555
"demography","IBM",3,81,0.464668,1.32116
"demography","IBM",3,88,0.464934,0.961317
"demography","IBM",3,95,0.464938,1.20165
"demography","IBM",3,102,0.472373,1.3803
"demography","IBM",3,109,0.475329,1.25553
"demography","IBM",3,116,0.481656,1.25491
"demography","IBM",3,123,0.483482,1.85431
"demography","IBM",3,130,0.481637,1.13988
"demography","IBM",3,137,0.479135,1.32618
"demography","IBM",3,144,0.483318,1.44841
"demography","IBM",3,151,0.484734,1.26757
"demography","IBM",3,158,0.478296,1.08487
"demography","IBM",3,165,0.46929,1.68981
"demography","IBM",3,172,0.476928,1.81713
"demography","IBM",3,179,0.489496,0.727333
"demography","IBM",3,186,0.488178,1.03572
"demography","IBM",3,193,0.489208,1.28306
"demography","IBM",3,200,0.497709,1.58537
"demography","IBM",3,207,0.500355,1.64662
"demography","IBM",3,214,0.493148,1.4008
"demography","IBM",3,221,0.490602,1.27537
"demography","IBM",3,228,0.486437,1.09064
"demography","IBM",3,235,0.489653,1.08523
"demography","IBM",3,242,0.486875,1.5023
"demography","IBM",3,249,0.497924,1.02308
"demography","IBM",3,256,0.500355,1.38463
"demography","IBM",3,263,0.499341,1.08523
"demography","IBM",3,270,0.497769,1.38669
"demography","IBM",3,277,0.488864,1.32486
"demography","IBM",3,284,0.481835,0.905557
"demography","IBM",3,291,0.479403,1.14742
"demography","IBM",3,298,0.484367,1.7519
"demography","IBM",3,305,0.482665,1.21142
"demography","IBM",3,312,0.475233,0.971068
"demography","IBM",3,319,0.470594,0.913413
"demography","IBM",3,326,0.475539,1.4015
"demography","IBM",3,333,0.476037,1.76446
"demography","IBM",3,340,0.473626,1.27814
"demography","IBM",3,347,0.469128,1.21972
"demography","IBM",3,354,0.467569,1.22381
"demography","IBM",3,361,0.465528,1.22875
"demography","IBM",3,365,0.466714,1.28975
"eir_20","IBM",4,4,0.549203,1.32389
"eir_20","IBM",4,11,0.5459,1.44724
"eir_20","IBM",4,18,0.542119,1.61656
"eir_20","IBM",4,25,0.537756,1.6971
"eir_20","IBM",4,32,0.535054,1.69836
"eir_20","IBM",4,39,0.532514,1.47594
"eir_20","IBM",4,46,0.534857,1.6971
"eir_20","IBM",4,53,0.538705,1.30498
"eir_20","IBM",4,60,0.538404,1.94345
"eir_20","IBM",4,67,0.535957,1.35131
"eir_20","IBM",4,74,0.532105,1.18067
"eir_20","IBM",4,81,0.53972,1.55131
"eir_20","IBM",4,88,0.547814,1.84567
"eir_20","IBM",4,95,0.550089,1.72612
"eir_20","IBM",4,102,0.546913,1.55393
"eir_20","IBM",4,109,0.543014,1.3795
"eir_20","IBM",4,116,0.541776,1.30789
"eir_20","IBM",4,123,0.54437,1.18603
"eir_20","IBM",4,130,0.544179,1.30869
"eir_20","IBM",4,137,0.543221,1.45546
"eir_20","IBM",4,144,0.545625,1.38323
"eir_20","IBM",4,151,0.543337,1.4107
"eir_20","IBM",4,158,0.544772,1.48495
"eir_20","IBM",4,165,0.546613,1.77892
"eir_20","IBM",4,172,0.547758,1.85154
"eir_20","IBM",4,179,0.542464,1.40347
"eir_20","IBM",4,186,0.542032,1.52165
"eir_20","IBM",4,193,0.542262,1.32415
"eir_20","IBM",4,200,0.53837,1.32291
"eir_20","IBM",4,207,0.538127,1.49389
"eir_20","IBM",4,214,0.541148,1.29867
"eir_20","IBM",4,221,0.546558,1.54246
"eir_20","IBM",4,228,0.546604,1.34389
"eir_20","IBM",4,235,0.551884,1.63579
"eir_20","IBM",4,242,0.557451,1.61569
"eir_20","IBM",4,249,0.555031,1.91099
"eir_20","IBM",4,256,0.556395,1.29797
"eir_20","IBM",4,263,0.555335,1.52134
"eir_20","IBM",4,270,0.551282,1.55131
"eir_20","IBM",4,277,0.543919,1.20853
"eir_20","IBM",4,284,0.540147,1.62594
"eir_20","IBM",4,291,0.533267,1.44949
"eir_20","IBM",4,298,0.537236,1.64758
"eir_20","IBM",4,305,0.541652,1.49802
"eir_20","IBM",4,312,0.540414,1.27872
"eir_20","IBM",4,319,0.538818,1.30559
"eir_20","IBM",4,326,0.537745,1.33113
"eir_20","IBM",4,333,0.53645,1.01238
"eir_20","IBM",4,340,0.538814,1.30984
"eir_20","IBM",4,347,0.543803,1.18314
"eir_20","IBM",4,354,0.545347,1.40451
"eir_20","IBM",4,361,0.544923,1.33257
"eir_20","IBM",4,365,0.542679,1.03595
"demography","IBM",4,4,0.449977,1.04076
"demography","IBM",4,11,0.452481,1.22875
"demography","IBM",4,18,0.458219,1.78861
"demography","IBM",4,25,0.45992,1.23624
"demography","IBM",4,32,0.44711,1.29498
"demography","IBM",4,39,0.454296,1.72664
"demography","IBM",4,46,0.46054,0.74024
"demography","IBM",4,53,0.460978,1.72752
"demography","IBM",4,60,0.467159,0.616658
"demography","IBM",4,67,0.468051,1.23415
"demography","IBM",4,74,0.467429,0.804783
"demography","IBM",4,81,0.464679,0.992016
"demography","IBM",4,88,0.472562,1.485
"demography","IBM",4,95,0.47504,0.993028
"demography","IBM",4,102,0.478437,0.993873
"demography","IBM",4,109,0.476164,1.23144
"demography","IBM",4,116,0.469967,1.40738
"demography","IBM",4,123,0.467271,1.1597
"demography","IBM",4,130,0.466331,0.853944
"demography","IBM",4,137,0.465666,0.857239
"demography","IBM",4,144,0.45893,0.675017
"demography","IBM",4,151,0.460506,0.920323
"demography","IBM",4,158,0.461358,1.59308
"demography","IBM",4,165,0.467673,0.732809
"demography","IBM",4,172,0.473354,1.28672
"demography","IBM",4,179,0.480857,1.04163
"demography","IBM",4,186,0.474872,1.22278
"demography","IBM",4,193,0.474132,1.28457
"demography","IBM",4,200,0.474827,1.03832
"demography","IBM",4,207,0.474936,0.790438
"demography","IBM",4,214,0.478271,0.971068
"demography","IBM",4,221,0.477344,0.730487
"demography","IBM",4,228,0.47968,0.914329
"demography","IBM",4,235,0.47278,1.28327
"demography","IBM",4,242,0.465632,0.915093
"demography","IBM",4,249,0.465255,1.15738
"demography","IBM",4,256,0.467294,1.15776
"demography","IBM",4,263,0.464669,1.16301
"demography","IBM",4,270,0.464519,1.04163
"demography","IBM",4,277,0.460319,0.919704
