"scenario","model","rep","years","elapsed_s"
"eir_120","IBM",20,33,175.86
"pmc","IBM",1,36,93.49
"pmc","IBM",2,36,93.39
"pmc","IBM",3,36,93.19
"pmc","IBM",4,36,92.72
"pmc","IBM",5,36,93.08
"pmc","IBM",6,36,93.44
"pmc","IBM",7,36,93.42
"pmc","IBM",8,36,93.05
"pmc","IBM",9,36,93.34
"pmc","IBM",10,36,93.16
"pmc","IBM",11,36,104.57
"pmc","IBM",12,36,104.11
"pmc","IBM",13,36,104.36
"pmc","IBM",14,36,104.74
"pmc","IBM",15,36,104.61
"pmc","IBM",16,36,104.88
"pmc","IBM",17,36,104.16
"pmc","IBM",18,36,104.23
"pmc","IBM",19,36,104.43
"pmc","IBM",20,36,104.78
"eir_1","fleet",0,33,3.42
"eir_3","fleet",0,33,3.4
"eir_10","fleet",0,33,3.37
"eir_20","fleet",0,33,3.44
"eir_50","fleet",0,33,3.36
"eir_120","fleet",0,33,3.49
"seasonal","fleet",0,33,6.17
"nets","fleet",0,36,3.68
"irs","fleet",0,36,3.69
"smc","fleet",0,33,8.04
"pev","fleet",0,36,3.75
"pmc","fleet",0,36,4.86
"treatment","fleet",0,36,3.71
"demography","fleet",0,33,3.8
"ts_none","fleet",0,45,10.15
"ts_nets","fleet",0,45,9.32
"ts_smc","fleet",0,45,11.66
"ts_treat","fleet",0,45,9.86
"ts_all","fleet",0,45,10.91
