"scenario","model","rep","age_lo","age_hi","age_mid","pop_frac","prev","clin","sev"
"eir_20","IBM",11,5,7,6,0.0731516,0.568727,1.19946,4.17121
"eir_20","IBM",11,7,10,8.5,0.100617,0.578339,0.974136,1.34782
"eir_20","IBM",11,10,15,12.5,0.131325,0.503257,0.604878,1.29082
"eir_20","IBM",11,15,20,17.5,0.10364,0.355832,0.400075,1.3085
"eir_20","IBM",11,20,30,25,0.145097,0.246178,0.25913,0.233661
"eir_20","IBM",11,30,40,35,0.0916918,0.204355,0.176742,0.739508
"eir_20","IBM",11,40,60,50,0.093854,0.196788,0.132935,0
"eir_20","IBM",11,60,85,72.5,0.0415306,0.197708,0.0930637,0
"demography","IBM",11,0,1,0.5,0.0187802,0.238202,0.817648,44.9257
"demography","IBM",11,1,2,1.5,0.0177703,0.384843,1.49844,45.5799
"demography","IBM",11,2,3,2.5,0.0170866,0.433348,1.46754,45.4285
"demography","IBM",11,3,5,4,0.0327876,0.471904,1.27429,13.381
"demography","IBM",11,5,7,6,0.0342652,0.486104,1.04599,8.86432
"demography","IBM",11,7,10,8.5,0.0499944,0.516967,0.874863,4.72534
"demography","IBM",11,10,15,12.5,0.0827264,0.474093,0.645792,1.63182
"demography","IBM",11,15,20,17.5,0.0769145,0.32916,0.414648,0.438781
"demography","IBM",11,20,30,25,0.159132,0.231198,0.273794,0.636237
"demography","IBM",11,30,40,35,0.150041,0.196639,0.18939,0.224929
"demography","IBM",11,40,60,50,0.23176,0.187462,0.13062,0.145619
"demography","IBM",11,60,85,72.5,0.128741,0.182661,0.105643,0.262143
"eir_20","IBM",12,0,1,0.5,0.0450532,0.286522,1.09814,52.5067
"eir_20","IBM",12,1,2,1.5,0.0424719,0.442782,1.86031,56.4935
"eir_20","IBM",12,2,3,2.5,0.041717,0.479105,1.7352,31.5932
"eir_20","IBM",12,3,5,4,0.0799315,0.540355,1.47807,14.3748
"eir_20","IBM",12,5,7,6,0.0714558,0.572195,1.1866,5.20233
"eir_20","IBM",12,7,10,8.5,0.0910183,0.563502,0.905577,1.48516
"eir_20","IBM",12,10,15,12.5,0.134145,0.506463,0.60159,1.00769
"eir_20","IBM",12,15,20,17.5,0.107111,0.352412,0.386809,0.315505
"eir_20","IBM",12,20,30,25,0.151292,0.244935,0.239677,0
"eir_20","IBM",12,30,40,35,0.0966687,0.207532,0.158713,0.349588
"eir_20","IBM",12,40,60,50,0.0949725,0.197458,0.118492,0
"eir_20","IBM",12,60,85,72.5,0.0441622,0.196308,0.110193,0
"demography","IBM",12,0,1,0.5,0.0176519,0.201128,0.697721,38.2313
"demography","IBM",12,1,2,1.5,0.0173771,0.360669,1.4078,54.3704
"demography","IBM",12,2,3,2.5,0.0171948,0.438688,1.54636,45.1349
"demography","IBM",12,3,5,4,0.0323214,0.487361,1.34673,18.7916
"demography","IBM",12,5,7,6,0.0319844,0.481853,1.05603,10.5498
"demography","IBM",12,7,10,8.5,0.0479785,0.491571,0.838322,3.51645
"demography","IBM",12,10,15,12.5,0.0809204,0.461655,0.647165,0
"demography","IBM",12,15,20,17.5,0.0825503,0.329308,0.442272,1.22626
"demography","IBM",12,20,30,25,0.153675,0.228137,0.253167,0.219573
"demography","IBM",12,30,40,35,0.15214,0.195017,0.196504,0
"demography","IBM",12,40,60,50,0.23793,0.18274,0.131749,0
"demography","IBM",12,60,85,72.5,0.128276,0.186379,0.102063,0.263048
"eir_20","IBM",13,0,1,0.5,0.0468554,0.29489,1.09422,57.7424
"eir_20","IBM",13,1,2,1.5,0.0450453,0.443524,1.84768,71.3244
"eir_20","IBM",13,2,3,2.5,0.0436468,0.478053,1.7062,30.9936
"eir_20","IBM",13,3,5,4,0.0830013,0.527092,1.45624,17.5206
"eir_20","IBM",13,5,7,6,0.0719867,0.569746,1.18812,5.16779
"eir_20","IBM",13,7,10,8.5,0.0951777,0.577986,0.903954,2.4873
"eir_20","IBM",13,10,15,12.5,0.130619,0.499366,0.57583,2.07133
"eir_20","IBM",13,15,20,17.5,0.107575,0.355062,0.325069,1.5719
"eir_20","IBM",13,20,30,25,0.154036,0.239104,0.243925,0.439108
"eir_20","IBM",13,30,40,35,0.089468,0.203828,0.164054,0
"eir_20","IBM",13,40,60,50,0.0928883,0.196902,0.128158,0.728171
"eir_20","IBM",13,60,85,72.5,0.0397011,0.200047,0.0911478,0
"demography","IBM",13,0,1,0.5,0.0174302,0.204661,0.702574,40.6448
"demography","IBM",13,1,2,1.5,0.0165922,0.378018,1.39886,40.6644
"demography","IBM",13,2,3,2.5,0.0171612,0.432166,1.3741,27.5214
"demography","IBM",13,3,5,4,0.035883,0.479452,1.30588,18.8031
"demography","IBM",13,5,7,6,0.0349004,0.49889,1.05169,7.73301
"demography","IBM",13,7,10,8.5,0.0469461,0.506747,0.902565,2.15581
"demography","IBM",13,10,15,12.5,0.0812329,0.462784,0.598856,1.66118
"demography","IBM",13,15,20,17.5,0.0795514,0.333984,0.401598,0.424073
"demography","IBM",13,20,30,25,0.161977,0.226921,0.249512,0.624821
"demography","IBM",13,30,40,35,0.147146,0.19188,0.174243,0.229267
"demography","IBM",13,40,60,50,0.236614,0.186074,0.137159,0
"demography","IBM",13,60,85,72.5,0.124565,0.183765,0.108872,0
"eir_20","IBM",14,0,1,0.5,0.047557,0.271836,1.06267,45.553
"eir_20","IBM",14,1,2,1.5,0.0444592,0.421908,1.7359,57.8634
"eir_20","IBM",14,2,3,2.5,0.0418591,0.469147,1.66825,35.5807
"eir_20","IBM",14,3,5,4,0.0792562,0.536182,1.46833,23.4899
"eir_20","IBM",14,5,7,6,0.0754855,0.570743,1.19595,6.72635
"eir_20","IBM",14,7,10,8.5,0.0972965,0.564985,0.92959,4.5227
"eir_20","IBM",14,10,15,12.5,0.129458,0.494544,0.571573,2.09176
"eir_20","IBM",14,15,20,17.5,0.104919,0.36227,0.357145,0.322624
"eir_20","IBM",14,20,30,25,0.149494,0.247046,0.235937,0.452854
"eir_20","IBM",14,30,40,35,0.0910012,0.200893,0.18152,0.371967
"eir_20","IBM",14,40,60,50,0.0949221,0.195506,0.120175,0.356603
"eir_20","IBM",14,60,85,72.5,0.0442917,0.190354,0.112343,0
"demography","IBM",14,0,1,0.5,0.0184968,0.251241,0.904413,51.0556
"demography","IBM",14,1,2,1.5,0.0172624,0.381629,1.51615,62.5217
"demography","IBM",14,2,3,2.5,0.0165772,0.432388,1.50355,34.5877
"demography","IBM",14,3,5,4,0.0329218,0.46528,1.33693,22.5383
"demography","IBM",14,5,7,6,0.0336862,0.529699,1.16242,13.0159
"demography","IBM",14,7,10,8.5,0.048171,0.524809,0.892003,2.10048
"demography","IBM",14,10,15,12.5,0.0826077,0.463734,0.626307,1.22485
"demography","IBM",14,15,20,17.5,0.0806507,0.340406,0.405227,1.67276
"demography","IBM",14,20,30,25,0.156128,0.230209,0.26787,0.648074
"demography","IBM",14,30,40,35,0.147113,0.195336,0.181117,0.229262
"demography","IBM",14,40,60,50,0.240795,0.182631,0.137406,0.140067
"demography","IBM",14,60,85,72.5,0.125591,0.185215,0.0958724,0
"eir_20","IBM",15,0,1,0.5,0.0468257,0.280965,1.07153,56.358
"eir_20","IBM",15,1,2,1.5,0.0439997,0.450067,1.89084,63.8225
"eir_20","IBM",15,2,3,2.5,0.0433345,0.516459,1.80588,40.599
"eir_20","IBM",15,3,5,4,0.0806623,0.549899,1.49071,16.3583
"eir_20","IBM",15,5,7,6,0.0723779,0.557625,1.21398,6.54437
"eir_20","IBM",15,7,10,8.5,0.0982672,0.572418,0.960597,3.0987
"eir_20","IBM",15,10,15,12.5,0.131228,0.508758,0.590669,2.57822
"eir_20","IBM",15,15,20,17.5,0.103783,0.358441,0.37751,0.326002
"eir_20","IBM",15,20,30,25,0.152078,0.245561,0.262742,0.222474
"eir_20","IBM",15,30,40,35,0.0930953,0.205148,0.168994,0
"eir_20","IBM",15,40,60,50,0.0965792,0.20583,0.111051,0
"eir_20","IBM",15,60,85,72.5,0.0377695,0.191986,0.116452,0
"demography","IBM",15,0,1,0.5,0.0178717,0.250106,0.967025,56.5512
"demography","IBM",15,1,2,1.5,0.0173545,0.407899,1.65391,60.1775
"demography","IBM",15,2,3,2.5,0.0170342,0.441454,1.54262,43.5098
"demography","IBM",15,3,5,4,0.0339348,0.477035,1.42162,14.8913
"demography","IBM",15,5,7,6,0.0336638,0.502724,1.12684,6.00446
"demography","IBM",15,7,10,8.5,0.0490674,0.515884,0.891183,4.80607
"demography","IBM",15,10,15,12.5,0.0846393,0.47048,0.628088,2.7862
"demography","IBM",15,15,20,17.5,0.08218,0.339227,0.448883,0
"demography","IBM",15,20,30,25,0.157274,0.231737,0.264758,1.28523
"demography","IBM",15,30,40,35,0.14896,0.195964,0.194498,0
"demography","IBM",15,40,60,50,0.230023,0.18528,0.133716,0
"demography","IBM",15,60,85,72.5,0.127998,0.182624,0.107911,0.263199
"eir_20","IBM",16,0,1,0.5,0.0474615,0.299221,1.08932,47.0518
