"eir","metric","mid","lo","hi","model","scenario"
"EIR 120","clinical incidence, ages 0–5",0.1138857553,NA,NA,"fleet","RTS,S via EPI
90% at 5 months, booster"
"EIR 120","clinical incidence, all ages",0.08435401535,NA,NA,"fleet","RTS,S via EPI
90% at 5 months, booster"
"EIR 120","severe incidence, all ages",0.09993058003,NA,NA,"fleet","RTS,S via EPI
90% at 5 months, booster"
"EIR 3","LM prevalence, ages 2–10",0.01249144204,NA,NA,"fleet","RTS,S via EPI
90% at 5 months, booster"
"EIR 3","clinical incidence, ages 0–5",0.09069293488,NA,NA,"fleet","RTS,S via EPI
90% at 5 months, booster"
"EIR 3","clinical incidence, all ages",0.02541355894,NA,NA,"fleet","RTS,S via EPI
90% at 5 months, booster"
"EIR 3","severe incidence, all ages",0.07350827573,NA,NA,"fleet","RTS,S via EPI
90% at 5 months, booster"
"EIR 20","LM prevalence, ages 2–10",0.002557373398,NA,NA,"fleet","Perennial chemoprevention
SP-AQ at 10 wk, 14 wk, 9 mo"
"EIR 20","clinical incidence, ages 0–5",0.0232457054,NA,NA,"fleet","Perennial chemoprevention
SP-AQ at 10 wk, 14 wk, 9 mo"
"EIR 20","clinical incidence, all ages",0.01390370378,NA,NA,"fleet","Perennial chemoprevention
SP-AQ at 10 wk, 14 wk, 9 mo"
"EIR 20","severe incidence, all ages",0.0107444365,NA,NA,"fleet","Perennial chemoprevention
SP-AQ at 10 wk, 14 wk, 9 mo"
"EIR 120","LM prevalence, ages 2–10",0.0008686281632,NA,NA,"fleet","Perennial chemoprevention
SP-AQ at 10 wk, 14 wk, 9 mo"
"EIR 120","clinical incidence, ages 0–5",-0.0002540578503,NA,NA,"fleet","Perennial chemoprevention
SP-AQ at 10 wk, 14 wk, 9 mo"
"EIR 120","clinical incidence, all ages",0.0008129582755,NA,NA,"fleet","Perennial chemoprevention
SP-AQ at 10 wk, 14 wk, 9 mo"
"EIR 120","severe incidence, all ages",-0.03202277079,NA,NA,"fleet","Perennial chemoprevention
SP-AQ at 10 wk, 14 wk, 9 mo"
"EIR 3","LM prevalence, ages 2–10",0.004617557744,NA,NA,"fleet","Perennial chemoprevention
SP-AQ at 10 wk, 14 wk, 9 mo"
"EIR 3","clinical incidence, ages 0–5",0.02876849254,NA,NA,"fleet","Perennial chemoprevention
SP-AQ at 10 wk, 14 wk, 9 mo"
"EIR 3","clinical incidence, all ages",0.01175846842,NA,NA,"fleet","Perennial chemoprevention
SP-AQ at 10 wk, 14 wk, 9 mo"
"EIR 3","severe incidence, all ages",0.02187428433,NA,NA,"fleet","Perennial chemoprevention
SP-AQ at 10 wk, 14 wk, 9 mo"
"EIR 20","LM prevalence, ages 2–10",0.2264847441,NA,NA,"fleet","Seasonal SMC
4 rounds/yr, ages 0.25–5"
"EIR 20","clinical incidence, ages 0–5",0.5253782427,NA,NA,"fleet","Seasonal SMC
4 rounds/yr, ages 0.25–5"
"EIR 20","clinical incidence, all ages",0.2658130045,NA,NA,"fleet","Seasonal SMC
4 rounds/yr, ages 0.25–5"
"EIR 20","severe incidence, all ages",0.3725113484,NA,NA,"fleet","Seasonal SMC
4 rounds/yr, ages 0.25–5"
"EIR 120","LM prevalence, ages 2–10",0.1696813247,NA,NA,"fleet","Seasonal SMC
4 rounds/yr, ages 0.25–5"
"EIR 120","clinical incidence, ages 0–5",0.4428488353,NA,NA,"fleet","Seasonal SMC
4 rounds/yr, ages 0.25–5"
"EIR 120","clinical incidence, all ages",0.3116647756,NA,NA,"fleet","Seasonal SMC
4 rounds/yr, ages 0.25–5"
"EIR 120","severe incidence, all ages",0.282264506,NA,NA,"fleet","Seasonal SMC
4 rounds/yr, ages 0.25–5"
"EIR 3","LM prevalence, ages 2–10",0.2761377862,NA,NA,"fleet","Seasonal SMC
4 rounds/yr, ages 0.25–5"
"EIR 3","clinical incidence, ages 0–5",0.5710401032,NA,NA,"fleet","Seasonal SMC
4 rounds/yr, ages 0.25–5"
"EIR 3","clinical incidence, all ages",0.2042178115,NA,NA,"fleet","Seasonal SMC
4 rounds/yr, ages 0.25–5"
"EIR 3","severe incidence, all ages",0.3575685117,NA,NA,"fleet","Seasonal SMC
4 rounds/yr, ages 0.25–5"
"EIR 20","LM prevalence, ages 2–10",0.1935942083,NA,NA,"fleet","Treatment scale-up
20% → 60% of clinical cases"
"EIR 20","clinical incidence, ages 0–5",0.05404714594,NA,NA,"fleet","Treatment scale-up
20% → 60% of clinical cases"
"EIR 20","clinical incidence, all ages",0.05176511451,NA,NA,"fleet","Treatment scale-up
20% → 60% of clinical cases"
"EIR 20","severe incidence, all ages",0.03389221866,NA,NA,"fleet","Treatment scale-up
20% → 60% of clinical cases"
"EIR 120","LM prevalence, ages 2–10",0.08179709921,NA,NA,"fleet","Treatment scale-up
20% → 60% of clinical cases"
"EIR 120","clinical incidence, ages 0–5",0.02160497176,NA,NA,"fleet","Treatment scale-up
20% → 60% of clinical cases"
"EIR 120","clinical incidence, all ages",0.02018690892,NA,NA,"fleet","Treatment scale-up
20% → 60% of clinical cases"
"EIR 120","severe incidence, all ages",0.008786760251,NA,NA,"fleet","Treatment scale-up
20% → 60% of clinical cases"
"EIR 3","LM prevalence, ages 2–10",0.3222795879,NA,NA,"fleet","Treatment scale-up
20% → 60% of clinical cases"
"EIR 3","clinical incidence, ages 0–5",0.1542027827,NA,NA,"fleet","Treatment scale-up
20% → 60% of clinical cases"
"EIR 3","clinical incidence, all ages",0.1497832942,NA,NA,"fleet","Treatment scale-up
20% → 60% of clinical cases"
"EIR 3","severe incidence, all ages",0.1274492196,NA,NA,"fleet","Treatment scale-up
20% → 60% of clinical cases"
